COD_ENCUESTADO,Nombre Campus,NIVEL ACTUAL,Clave de carrera,Ciclo,COMENTARIO,IND_GEA,IND_DELEGADO,CANT_CURSOS_MATRICU_SIN_INGLES,UOD_depostista_ind_deportista,NPS
6018,3,AC,6,6, Espacio,,,6.0,,3
20809,3,AC,3,1," El wifi, mejorar en _l aspecto de la comida màs saludable y rica.",,,4.0,,3
32775,4,FC,106,2, Los temas deben ser mas practicos y de aplicados a la carrera que estamos llevando,,,5.0,,3
2850,2,AC,14,1, La matrÕcula no debe ser tan complicada de realizar ya que no hay salones,,,4.0,,3
32077,1,FC,109,3, Lo lejos de mi casa,,,4.0,,4
5934,1,AC,31,2, Es completa,,,5.0,,4
26115,3,FC,107,4, Buena enseÐanza,,,4.0,,3
20197,3,AC,31,1," En nada , por ahora",,,4.0,,1
12845,1,AC,26,1, La exigencia de los profesores a los alumnos es muy alta y obliga a que tengamos un excelente desempeÐo. Ademàs nos brindan muchos servicios para poder estudiar mejor,,,3.0,,4
25570,4,FC,101,3," Los cubiculos son escasos y mal administrados. Igual que las PCs, me dieron una maquina por una hora, a los 15 minutos llego una seÐorita diciendo que habÕa separa mi màquina por la aplicaciÑn. Se sentÑ en otra. 10 minutos despu_s llegÑ otro alumno diciendo lo mismo!",,,4.0,,3
15391,3,AC,34,4," Un poco de desorganizaciÑn , la pensiÑn es muy elevada",,Delegado,7.0,,2
12059,3,AC,15,1, La informaciÑn a los nuevos alumnos con respecto a cr_ditos extra acad_micos,,,7.0,,3
1949,4,AC,31,4, Existen aspectos a mejorar,,Delegado,5.0,,3
6959,4,AC,3,2," No ayudan, cuando tienes problemas tanto de matricula, quejas, etc.",,,4.0,,2
240,4,AC,31,4, Màs espacios para estudiar,,,4.0,,3
25891,2,FC,101,2, aumento de horas en clases presenciales  modalidad EPE,,,5.0,,3
9894,3,AC,39,1, QUE FUMEN EN LA PUERTA NO ME GUSTA.,,,7.0,,1
20663,1,AC,9,1, La modernidad,,,5.0,,4
22746,3,AC,25,2, Los laboratorios,,,4.0,,4
27510,3,FC,101,8, El ambiente... La calidad... PasiÑn puesto en todo el sistema,GEA,,4.0,,4
28491,3,FC,101,2," Demasiados Trabajos bajo presiÑn para Epe, pensiÑn mensual alta",,,4.0,,2
14632,3,AC,30,1, Bueno no tiene comida barata y el papeldel baÐo es duro,,Delegado,3.0,,2
18969,3,AC,11,5," LA universidad TIENE CONVENIOS IMPORTANTES, PERO EL TRATO NO ES MUY BUENO",,,6.0,,3
30137,3,FC,107,9, Mucha gente,,,4.0,,2
29495,4,FC,107,4," La enseÐanza y temas son engaÐa muchachosel curso de calculo que toma 6 meses en otras universidades y en la universidad lo meten en una semana ,lo mismo para los otros cursos de ciencias. LLos pagos deberian bajarlos si desean hacer su metodo blended El acceso a las sede de la misma universidad luego de quitar las sede de alquiler , se convierte en dolor de cabeza para poder llegar . slds No hablo con el higado deberian preocuparse por el futuro de un pais y ser justos con la enseÐanza, no es del todo didàctico",,,4.0,,1
23330,3,AC,5,3," Deben mejorar todo el sistema del blackboard, ya que aveces se inhabilita.",,,6.0,,3
16493,3,AC,28,1," Ambiente academico, limpieza, disponibilidad de materiales",,Delegado,5.0,,4
21122,1,AC,36,8, Muy caro,,,6.0,,3
10877,3,AC,17,4, todo cool,,,4.0,,4
223,1,AC,37,8, No dejen entrar a TODO el mundo.,GEA,,8.0,,3
22079,3,AC,6,1," DeberÕan bajarle el precio a las cosas en la cafeterÕa, que haya baÐos en todos los pisos y que el WiFi tambi_n llegue afuera de los pabellones, no solo dentro de ellos.",,,4.0,,3
31644,2,FC,101,1, La organizaciÑn.,,,4.0,,4
9414,3,AC,32,2, La experiencia,,,5.0,,4
25518,3,FC,109,3, El 80% de los profesores llegan al alumnos con sus enseÐanzas.,,,4.0,,4
24604,3,AC,25,1, La calidad de profesores,,,6.0,,4
25667,2,FC,107,1," es una universidad muy seria y con muy buen trato hacia los estudiante,sigan adelante en el camino a la excelencia. les pondrÕa 10 pero creo que aÏn tienen algunas oportunidades de mejora",,,4.0,,4
27489,3,FC,101,5, tener mas locales de estudio como antes,,,4.0,,3
16836,2,AC,25,2, DeberÕa de haber mas deporte en todas las sedes.,,,5.0,,3
20562,4,AC,2,1, DeberÕa existir una aplicaciÑn para juntar los accesos virtuales,,,5.0,,2
17954,2,AC,9,1, Las pensiones y recategorizaciones deberian ser por mas de un aÐo ya que cada quien no tiene tiempo de estar haciendo el tramite cada ciclo,,,6.0,,2
7462,3,AC,5,5," Falta de aulas en cursos como InvestigaciÑn de mercados ,entre otros cursos y tambi_n tener distintos profesores en un curso,ya que hay veces que hay un solo profesor que enseÐa el curso,tener mas seÐal de wifi y deberÕa haber un comunidad donde los alumnos puedan dar propuestas a la universidad como una consejerÕa estudiantil.",,,5.0,,2
20407,3,AC,5,1," En la comunicacion como en los avisos de cambios de horarios,etc.",,Delegado,4.0,,3
26987,3,FC,106,5, La enseÐanza,,,4.0,,4
25308,3,FC,110,2, La exigencia,,,5.0,,4
29372,4,FC,108,4," La exigencia acad_mica, y la calidad de la enseÐanza. Ademàs cuenta con una gran infraestructura.",,,5.0,,4
20716,3,AC,14,1, En la buena enseÐanza de los profesores y el buen ambiente.,,,5.0,,3
26902,4,FC,101,7," La calidad de la enseÐanza, el reconocimiento y la verificaciones de la Universidad, la facilidad de horarios, la moderna infraestructura.",,,3.0,,4
11834,1,AC,5,1," Nos brinda los mejores servicios innovadores, la mejor Universidad del PerÏ",,,5.0,,4
14774,1,AC,16,6, Mejor atenciÑn para los al7mnis en cuanto a solicitudes,,Delegado,4.0,,2
18704,1,AC,7,1, La calidad de enseÐanza que hay en esta universidad,,,3.0,,4
869,3,AC,27,1," Muchos pueden decir que es fàcil ingresar y como en toda universidad pero no saben que al estar dentro es una experiencia diferente, son exigentes y eso te ayuda a ser un mejor profesional, ademàs de que hacen uso de la tecnologÕa para aprender",,Delegado,5.0,,4
15480,1,AC,37,3," La atenciÑn al alumno es p_sima y el WiFi muy lento, tanto que esta respuesta tal vez ni llegue",,Delegado,6.0,,2
14955,1,AC,37,5, Su estacionamiento es pauperrimo. Me cuesta 22 minutos aprox diarios de cola llegar a clase. Inaceptable,,Delegado,7.0,,1
24525,3,AC,32,2, La calidad de enseÐanza y paciencia de los profesores,,,5.0,,4
30788,4,FC,104,7, El ingl_s es muy aburrido. El Cambridge es muy aburrido y no se aprende nada.,,,4.0,,3
9291,1,AC,17,5, La biblioteca,,,6.0,,4
13733,3,AC,21,1, Me siento cÑmodo con respecto a la enseÐanza y el lugar,,,4.0,,4
5573,3,AC,25,1, La enseÐa nada y las facilidades que ofrecen,,Delegado,5.0,,4
23451,1,AC,5,7," Respecto a la plataforma para celulares, la anterior me parecia màs interactiva y facil de usar. Respecto a los salones que se habilitan en el 1, ya que estoy en 8vo y estoy llevando màs cursos de 9no y 10 de administraciÑn, porque los de carrera no se aperturan. Las diferentes actividades por parte de Vida Universitaria me parecen minimas, y la semana Universitaria deja mucho que desear. En general, me encanta la universidad, son solo estos factores que incomodan un poco la vida estudiantil",,,6.0,,3
13695,1,AC,25,3, solucionar algunos problemas del blackboard,,,5.0,,3
16768,2,AC,5,2, En establecer màs areas de cubiculos y computadoras,,Delegado,5.0,,3
12586,3,AC,31,2," En las dinamicas que tienen con los cachimbos, en la metodologia de los cursos, pues creo que deberia haber mas cursos electivos",,,6.0,,3
26799,2,FC,106,1," El nivel acad_mico, las formas de estudio y la calidad de los profesores",,,4.0,,4
3236,2,AC,15,1, La universidad es muy lucrativa,,Delegado,5.0,,2
11264,3,AC,25,1, Deberian de mejorar el proceso de los TIU ya que son importantes ademas que los alumnos nuevos deben de estar registrandose constantemente por la falta de TIU haciendo que se retrasen en llegar a sus cursos.,,,5.0,,3
1752,3,AC,29,1, El tener todas las herramientas en la universidad para hacer los trabajos.,,,4.0,,4
3018,1,AC,14,1, Posibilidades economicas,,,4.0,,3
14395,4,AC,3,1, Porque es enseÐan bien,,,5.0,,3
8745,3,AC,25,5, La atencion al alumno es deficiente y el aplicativo de matricula no esta bien desarrollado,,,4.0,,2
5604,3,AC,30,1, Porque es buena,,,5.0,,4
12838,3,AC,25,2," A pesar de la buena infraestructura y nueva metodologÕa, parece ser que no alcanza el renombre que deberÕa",,,6.0,,3
8184,3,AC,7,1, Poner casilleros para guardas nuestras cosas,,,1.0,,3
18210,1,AC,7,1, Porque ahora ya no puedo ver con que compaÐeros voy a llevar el prÑximo ciclo desde mi iPhone çrestauren la antigua app plssss!!!!!,,,4.0,,4
30252,3,FC,104,3, Los cursos blended deben tocarse en clase sobretodo los temas mas complejosco aumentar un dÕa màs de estudio,,,4.0,,2
6087,1,AC,35,1," Hay demasiada gente, deberian poner cupos limitados, por que la universidad esta sobrepoblada",,,5.0,,3
23780,2,AC,29,1," Tiene una buena infraestructura, profesores experimentados.",,,4.0,,4
31554,2,FC,100,9, el prestigio de la universidad y la calidad de enseÐanza,,,2.0,,4
22699,3,AC,34,4, Por los materiales que ofrece la universidad.,,,5.0,,4
29186,3,FC,106,7, En subÕr la pensiÑn de mensual.,,,4.0,,2
10237,1,AC,38,7, Buenos profesores,,,7.0,,4
28713,1,FC,101,2, En algÏn momento me tocaron profesores que profesaban el catolicismo en clases y no me perece apropiado.,,,2.0,,3
24584,3,AC,27,2, La enseÐanza,,,7.0,,4
8785,4,AC,31,3, El espacio acogedor de mi universidad.,,,4.0,,4
29240,4,FC,107,1," Las facilidades para imprimir, usar los espacios de esparcimientos",,,4.0,,4
2351,4,AC,22,6," Màs producciones propias de investigaciÑn, variando de tema, no solo temas econÑmicos o de marketing.",GEA,,5.0,,3
32230,1,FC,107,1, conocer nuevas personas,,,3.0,,4
32194,4,FC,104,4," La calidad de las evaluaciones, ya que la mayorÕa se basa en trabajos grupales, no midiendo la aplicaciÑn de la teorÕa para cursos de ciencias como contabilidad..",,,5.0,,2
4542,4,AC,13,3, Mala atencion,,,7.0,,1
8795,3,AC,3,7, Proceso de matricula. Mas instrucciones para alumnos cachimbos.,GEA,,6.0,,3
14951,3,AC,32,1, las clases dinàmicas,,,6.0,,4
18354,1,AC,9,1, El internet,,,5.0,,2
9125,1,AC,33,1," Viernes culturales, convenios, descuentos",,,4.0,,4
22772,1,AC,9,2, Mejora de atenciÑn al alumno,,,6.0,,3
24737,3,AC,13,3, Cada vez suben màs la pensiÑn,,,7.0,,2
23900,3,AC,12,10, Horarios.,,,1.0,,3
25389,4,FC,101,1," Instalaciones, ayuda y soporte tecnologico, dinamismo, pero por el amor de cristo... Dejen de jugar con los horarios.",,,4.0,,4
33403,4,PRESENCIAL,217,1, La coordinadora no se involucra y da informaciÑn a destiempo de temas del curso,,,,,3
10398,3,AC,31,2, Tiene una buena atenciÑn,,,4.0,,4
5434,1,AC,37,7, Porque es muy buena la educaciÑn y el servicio que brindan,,Delegado,8.0,,4
12476,3,AC,14,1, Buena enseÐanza acad_mica !,,,5.0,,4
22732,3,AC,34,1," La metodologÕa en la enseÐanza en algunos de los cursos como lenguaje I, II",,,8.0,,3
12792,3,AC,32,4, Matricula,,,3.0,,3
30659,3,FC,101,2," Para los estudiantes de EPE, nos han cambiado todo, desde los horarios hasta la curricula. Tambi_n estamos en la incertidumbre si podremos acabar la carrera en 3 aÐos y medio o en 5 aÐos como se rumorea. Si asÕ es el programa EPE no tienen ningun beneficio para la persona que trabaja.",,,4.0,,2
891,3,AC,15,1, Mi carrera y el metodo de enseÐanza,,,6.0,,4
28212,1,FC,107,6, deberÕan categorizar las escalas de facturaciÑn,,,4.0,,3
33041,1,FC,111,4, Reducir precios de mensualidad,,,3.0,,3
18080,4,AC,2,3," Los cursos blended, son horribles, mal estructurados y nada productivos.",GEA,,7.0,,3
1482,1,AC,25,5, En en la determinaciÑn del nivel de enseÐanza de los docentes.,,Delegado,5.0,,3
5926,1,AC,37,4, En su calidad de servicio y no poner ponderados tan altos en las carreras,,,7.0,,3
12823,2,AC,31,2, Lo recomendaria seguido,,,5.0,,4
16922,1,AC,37,1, Por qu_ es muy buena,,,3.0,,4
2728,1,AC,7,3," Los profesores que tienen son buenos, y que cuentan con talleres y tutorias",,Delegado,4.0,,4
21854,1,AC,36,5, Mala antencion en odontologia. Pensiones subem a cada rato,,,5.0,,2
32840,3,FC,100,3, debe ser mas simple el sistema,,,4.0,,2
14291,3,AC,5,3, Innovacion,GEA,Delegado,5.0,,4
28659,3,FC,105,9, Porque tiene buenos profesores.,,,5.0,,4
25003,4,AC,5,7, No hay un aterrizaje completo de la teorÕa,,,5.0,,1
2087,4,AC,15,1," La cafeteria mas grande , mas fotocopiadoras ya que se demora mucho para realizar una fotocopia o impresion",,,7.0,,3
5186,1,AC,37,2," Mejorar el aula virtual, la atenciÑn al alumno",,,7.0,,2
23909,4,AC,13,2," Bajar la pension, mas espacios",,,5.0,,2
10450,1,AC,33,4, Bajar la cuota mensual Mejorar la atenciÑn administrativa,,,5.0,,3
15939,3,AC,14,9, Aprendizaje,,,2.0,,4
7713,2,AC,25,1, Es buena en la enseÐanza y academicamente.,,,4.0,,3
8309,3,AC,7,1, RenovaciÑn de los tableros de taller de arquitectura y mas mesas en el comedor.,,Delegado,4.0,,2
323,3,AC,31,1, Es la mejor del peru,,,5.0,,4
6575,1,AC,25,3, Calidad de educaciÑn e infraestructura,,Delegado,5.0,,4
23185,3,AC,34,7, En la atenciÑn y la rapidez de las solicitudes de inmediato.,,Delegado,6.0,,3
6396,4,AC,14,3, Se demoran en contestar contacto web .. Ademas suben la matricula dos veces al aÐo.,,Delegado,6.0,,1
672,4,AC,25,1, El ambiente,,,6.0,,4
9580,1,AC,25,2, Los beneficios que otorga a los deportistas.,,,4.0,Deportista,4
1112,3,AC,11,2, El callcenter de la universidad es una total molestia porque el servicio es muy malo y con informaciÑn errÑnea.,,,5.0,,2
20422,1,AC,3,1, Mis cursos,,,5.0,,4
23224,1,AC,34,2, La vision empresarial y la parte tecnologica,,,3.0,,4
14668,3,AC,2,1, Ampliar horarios,,,4.0,,3
21500,4,AC,15,1, CONTIENE BUENA DE DOCENTES Y BUENA INFRAESTRUCTURA,,,5.0,,4
25885,4,FC,101,3," La matrÕcula de este ciclo fue una pesadilla y sus canales de atenciÑn, los 5 que ofrecen colapsaron, sobre todo el de atenciÑn telefÑnica. Tengo un buen promedio y por errores del sistema me no me abrÕan cursos del siguiente ciclo, porque se duplicaban otros. Tuve que escribir varias veces al contacto web, porque me aperso e a atenciÑn al alumno y perdÕ 40 minutos de cola para que me digan que temas de matrÕcula sÑlo a trav_s de la web. Si nosotros alumnos de Epe somos sus clientes, hemos sido",,,4.0,,1
29014,3,FC,100,1," Un roadmap con todos los procedimientos, lugares, tutores, etc",,,4.0,,3
14535,4,AC,31,1, Mas apoyo en el deporte,,,3.0,,3
5787,4,AC,5,1," Es mi primer ciclo pero me gustaria que no sean tantos trabajos grupales, y capacitar mas a algunos profesores",,Delegado,5.0,,2
31389,2,FC,107,3," El campus tiene todas las herramientas para facilitar que uno aprenda.... me gusta como aplicamos la tecnologÕa para facilitar el aprendizaje, mi profe de càlculo lo màximo.",,,2.0,,4
9644,3,AC,3,1, la vida universitaria,,,3.0,,4
15029,2,AC,25,1, Su enseÐanza es buena,,Delegado,4.0,,4
31871,3,FC,103,7," Varios aspectos, principalmente la al alumno para matrÕculas y consultas es p_simo.",,Delegado,4.0,,2
2246,3,AC,5,8, Las instalaciones,,Delegado,7.0,,3
13248,3,AC,32,8," En la falta de laboratorios para mecatronico, laboratorio de mandos no hay equipos,",,Delegado,5.0,,2
3177,1,AC,13,1," La universidad ahora esta demasiado llena, hay muchos alumnos en algunas sedes.",,,6.0,,4
23738,1,AC,29,2, estacionamientos,,,2.0,,3
20496,2,AC,29,2, En la atenciÑn,,,5.0,,3
9415,3,AC,9,1," Su sistema, tiene muchas fallas, sobre todo con el tema de la contraseÐa. Me parece que en la carrera de comunicaciÑn, son muchos los cursos que se deben llevar por curso esto baja el rendimiento en algunos alumnos.",,,5.0,,2
15117,3,AC,7,6," Hay tantas personas en la universidad que para muchas no quedan cursos al armar los horarios, la mensualidad sigue subiendo, el internet para el alumno es malÕsimo, la cafeterÕa es demasiado pequeÐa, los profesores y los alumnos nos quejamos por el cambio de las computadoras a ipad ya que se demoran 30 minutos mÕnimo cada clase para poder iniciar, etc",,Delegado,4.0,,2
25245,3,AC,30,1, WASC,,,4.0,,4
15009,2,AC,28,1," Horarios màs accesibles, la mayorÕa tienen huecos en sus horarios",,,3.0,,3
33412,4,PRESENCIAL,223,1," Pregrado; los Directores y Decanos de Escuelas y facultades depen de preocuparse màs por los alumnos; Darle màs _nfasis a las actitudes de los profesores a cargo de los cursos; en la parte administrativa, nadie da respuesta  a las cartas",,,,,2
18405,3,AC,3,1, las distintas areas,,,6.0,,4
32769,4,FC,106,2, Infraestructura,,,5.0,,4
12878,4,AC,11,2, En el 4 hacer las dinàmico el ambiente y qu_ no sea tan aburrido poner mas àreas para descanso y donde poder estar en los tiempos libres. Deberian mejorar el WiFi,,,5.0,,3
22730,3,AC,29,3," Debe de haber màs cubÕculos para estudiar, la conexiÑn de internet es lenta y en los comedores no hay espacio y faltan mesas.",,,5.0,,3
25787,2,FC,107,9," Deben mejorar, el nivel de los profesores hay algunos que no se le entiende y eso dificulta el aprendizaje, sumado con el tiempo corto que se tiene dificulta aun mas el aprendizaje.",,,4.0,,3
18172,4,AC,31,1, atenciÑn al alumno,,,4.0,,3
18975,3,AC,11,8," Me parece que ya estàn excediendo en el nÏmero de alumnos por sede. Ademàs, hay ciertos puntos, como el mantenimiento de los baÐos y el tiempo de atenciÑn en el Centro de AtenciÑn del Alumno son cuestiones que deben mejorarse URGENTE!!!!!!",,,7.0,,3
15121,1,AC,29,3, Blended,,,5.0,,2
29906,3,FC,107,9, PensiÑn. Becas.,,,2.0,,1
5634,1,AC,37,1," Porque s_ que tiene una malla distinta a otras universidades en la que el primer ciclo te dictan cursos de carrera y ademàs de eso, te forman, mediante talleres, para que sea una buena persona, para que seas lÕder y en un futuro (cuando acabes la carrera) no tengas inconveniente alguno en tu centro laboral.",,Delegado,6.0,,4
20930,3,AC,24,3, Atencion al alumno nunca es eficaz. No ayuda mucho con resolver los problemas y dudas.,,Delegado,5.0,,2
30524,4,FC,101,4, Hay cursos inÏtiles,,,3.0,,1
5366,3,AC,25,1," Los cubÕculos, profesores",,,5.0,,4
18903,3,AC,28,9, Las carreras son especializadas y tienen un enfoque definido para cada una.,,,2.0,,4
31159,3,FC,105,5," El blackboard y los telefonos de atencion al alumno son p_simos, nunca contestan y es desesperante. Los horarios han cambiado y los de EPE salimos muy tarde.",,,4.0,,3
18160,3,AC,31,1, Mas computadoras,,,5.0,,3
2566,3,AC,31,8, Trabajos finales aplicado a empresas,,,6.0,,4
6047,3,AC,13,2, Porq es la mejor,,Delegado,7.0,,4
9228,3,AC,39,1, No me gusta que 13 sea la mÕnima nota,,,5.0,,2
11098,2,AC,28,1, Que haya talleres que no cuesten como ofimaticas y cosas basicas pero importantes .,,,3.0,,3
19462,4,AC,29,1, Infraestructura,,,5.0,,3
9159,4,AC,25,3, Considero que la mensualidad es demasiado alta como para que mis amigos o familiares puedan pagarla.,GEA,,5.0,,2
22100,2,AC,12,1," Mucho demora de los tràmites, y pensiÑn muy alta por cada ciclo.",,,5.0,,2
15799,3,AC,15,5, Mejorar el estado de las instalaciones y contratar profesores que tengan renombre en el mercado y a la vez hagan doctrina porque ello da una buena referencia de con qui_n llevaste los cursos en los estudios de abogados.,,Delegado,6.0,,3
32538,4,PRESENCIAL,222,1, su organizaciÑn y la calidad de la educaciÑn,,,,,4
33586,4,PRESENCIAL,214,1," Enviar los horarios definidos de toda la maestÇria, con 2 dÕas de anticipaciÑn sino asistirà el profesor a clases",,,,,4
19910,2,AC,32,1," en el exceso de alumnos no bien preparados, el tiempo que demora la atenciÑn por informaciÑn y en el exceso de trabajos grupales que se realizan. Sobre lo Ïltimo, creo que està bien fomentar la ayuda mutua pero es que al hacer grupos, la mayorÕa de veces gana el pensamiento mayoritario y no deja crecer a uno por su cuenta.",,,6.0,,1
26537,3,FC,107,3," La infraestructura, la malla curricular, los servicios acad_micos.",,,4.0,,4
22150,3,AC,25,1," Lo que mas valoro de la universidad es que a diferencia de otras universidades, esta es una universidad tiene una manera de enseÐar distinta. El uso de la tecnologÕa es un gran aporte para la educaciÑn, tambi_n se puede resaltar la moderna infraestructura de los salones y la gran atenciÑn que recibimos los alumnos.",,,5.0,,4
29912,2,FC,106,3, En el caso de EPE la dedicaciÑn de los profesores a pesar de que el curso es mitad presencial mitad virtual,,,4.0,,4
6922,3,AC,5,1, Hay diversas actividades que las personas pueden hacer y poder explotar sus habilidades al màximo.,,,6.0,,4
12099,4,AC,14,2," La universidad no deberÕa proporcionar cursos blended para cursos pràcticos (matemàticas), ya que se requiere una mayor explicaciÑn del profesor",,,6.0,,3
15635,3,AC,39,6, para que quieres saber eso jaja saludos,,,6.0,,3
10420,1,AC,34,3, Requisitos para nuevos cursos y malla curricular,,,5.0,,2
14466,2,AC,32,1, muy pequeÐo,,,6.0,,2
1779,3,AC,7,2," Es muy comÏn perder el TIU, no deberÕa ser tan caro sacar una copia. DeberÕa haber màs mesas o otro comedor.",,,5.0,,3
32734,2,FC,104,6," Peronalizar la atenciÑn, nunca nos dieron una bienvenida y cuando queremos conversar con alguna autoridad que tenga una capacidad de discreciÑn, no la encontramos",,Delegado,5.0,,3
23420,1,AC,35,2, La pensiÑn sube muy seguido,,,5.0,,3
31055,4,FC,101,2, La enseÐanza,,,4.0,,4
30163,3,FC,110,2, AtenciÑn màs personalizada,,,2.0,,3
1549,3,AC,6,5, Soy buen fan de mÕ universidad,,,7.0,,4
132,4,AC,5,1, MetodologÕa de enseÐanza y estudio,,Delegado,5.0,,4
11076,3,AC,34,1, El m_todo de enseÐanza,,,6.0,,4
28957,2,FC,101,8, Los horarios las sedes cercanas y el prestigio,,,3.0,,4
26865,1,FC,104,6, No respetan las sede. Asimismo. A la carrera de contabilidad le dejan de lado. Por los pocos alumnos que somos. Y por que no hacen bien los horarios ya que presentan varios cruces,,,2.0,,2
20734,1,AC,5,2, El problema es que en cada ciclo suben la pensiÑn.,,,4.0,,2
2197,1,AC,28,1, eliminar dpi,,,3.0,,3
21968,4,AC,26,6," Tiene una buena infraestructura, convenios y es exigente.",,Delegado,6.0,,4
20475,3,AC,7,1, Porque si,,,4.0,,1
31818,3,FC,105,2, Muy desorden con el silabus de algunos cursos,,,5.0,,2
31642,3,FC,105,10, Mejorar los conceptos a desarrollar en algunos cursos,,,2.0,,3
22003,4,AC,31,9, Grandes oportunidades,,,5.0,,4
21303,1,AC,33,2, QUEREMOS CADAVERES,,,6.0,,3
14841,4,AC,29,4," atencion al alumno, mucha cola",,,5.0,,3
11960,3,AC,39,3," Es una muy buena universidad, buenos profesores, curricula dinàmica para cada carrera, implementa constantemente materiales tecnolÑgicos. MÕ mayor problema es la distancia del campus a mi casa, es demasiado lejos.",,,4.0,,3
11570,1,AC,33,1, Es buena,,,3.0,,4
31692,3,FC,105,3, buena metodologÕa de enseÐanza pero creo que deberÕan mejorar sobre todo en cursos de matemàticas suele ser la causa de muchos alumnos retrasarse o irse a otras universidades,,,2.0,,3
29546,3,FC,104,5," Los profesores son p_simos explicando ejemplo el profesor de sistema avanzado de costeÑ su enseÐanza es p_sima solo habla de su vida y no sigue los formatos que nos da, solo s_ que se llama Humberto, somos varios incÑmodos con ese profesor. Lo otro que me incomoda es que por el ingl_s no puedo llevar otros cursos, tercero en vez de mejorar con el material de enseÐanza en clases, funcina mal las tabletas no entra el internet, Espero mejoren con todo, yo si no estoy recomendando a esta universid",,,3.0,,1
7084,1,AC,31,1," los profesores, las aulas y todo es bonito",,,4.0,,4
10711,4,AC,2,5, Deberian mejorar en la atencion al alumno.,,,5.0,,3
5576,3,AC,10,1, Que se extienda los horarios del profesor,,,7.0,,3
1552,2,AC,31,1, porque explican sobre que trata,,,3.0,,1
3134,1,AC,7,1, Transporte,,Delegado,3.0,,2
25556,2,FC,106,8," Facilidad de horarios, sedes, enseÐanza de calidad.",,,1.0,,4
7663,4,AC,22,1, La calidad de los docentes,,Delegado,6.0,,4
3010,2,AC,3,2, No hay una buena atenciÑn en los counter de atenciÑn a los alumnos. Ademàs creo que hay excesivo cobro en las pensiones.,,Delegado,6.0,,2
7012,3,AC,40,9, AtenciÑn al alumno. PensiÑn incrementada. Cambios de malla. Mucha gente. Estacionamiento insuficiente.,,,6.0,,2
2714,1,AC,36,2, La infraestructura y la tecnologÕa implementada para la educaciÑn,,,3.0,,4
32235,2,FC,101,1," Valoro, que los horarios sean accesibles, la metodologÕa en la enseÐanza es muy bueno y los profesores son profesionales que realmente conocen su rubro y nos inspiran a seguir creciendo.",,,4.0,,4
30493,3,FC,104,6," Una compaÐera del trabajo de matriculo en la universidad y se retiro porque le cambiaron de curso si avisar,",,,4.0,,3
21927,3,AC,34,5," Por todo lo que cobran, la calidad educativa deberÕa ser mejor, con màs horas de pràctica (hablo por la carrera de mÏsica). Mayor muestra del material musical que todos los alumnos tienen (no sÑlo en los viernes culturales)",,,7.0,,3
25347,3,FC,105,7, la exigencia,GEA,,3.0,,4
13944,3,AC,34,3, El 3 parece carcel,,Delegado,6.0,,2
2109,2,AC,13,3, Debe haber màs ascensores. Mejor entrenamiento en los viernes culturales. En las cafeterÕas debe costar igual o menos (especial en la cafeterÕa del primer piso).,,Delegado,6.0,,3
